Participant,Technique,NumberOfTargets,Perplexity,trial_time
sub_23,AssistVR,4,Medium,32.46213667
sub_23,AssistVR,4,High,26.85459333
sub_23,DiscPIM,1,Low,6.645538333
sub_23,DiscPIM,1,Medium,8.841266333
sub_23,DiscPIM,1,High,7.165013667
sub_23,DiscPIM,2,Low,13.272858
sub_23,DiscPIM,2,Medium,19.618958
sub_23,DiscPIM,2,High,7.360229667
sub_23,DiscPIM,4,Low,18.11747333
sub_23,DiscPIM,4,Medium,49.18282
sub_23,DiscPIM,4,High,35.98175
sub_24,AssistVR,1,Low,25.88743667
sub_24,AssistVR,1,Medium,11.03282533
sub_24,AssistVR,1,High,7.94989
sub_24,AssistVR,2,Low,12.229868
sub_24,AssistVR,2,Medium,20.24513667
sub_24,AssistVR,2,High,13.66779667
sub_24,AssistVR,4,Low,9.682411
sub_24,AssistVR,4,Medium,19.06997
sub_24,AssistVR,4,High,68.12041333
sub_24,DiscPIM,1,Low,14.00587833
sub_24,DiscPIM,1,Medium,5.250162667
sub_24,DiscPIM,1,High,6.984415667
sub_24,DiscPIM,2,Low,11.42061433
sub_24,DiscPIM,2,Medium,18.40153333
sub_24,DiscPIM,2,High,50.44002333
sub_24,DiscPIM,4,Low,45.64449333
sub_24,DiscPIM,4,Medium,77.94449
sub_24,DiscPIM,4,High,33.33577
