subject_id,Technique,perplexity,num_targets,global_trial_idx,trial_type,trial_id,distance_to_obj,num_attempts,trial_time,left_hand_distance_travelled,right_hand_distance_travelled,left_trigger_clicked,right_trigger_clicked,left_grip_clicked,right_grip_clicked
sub_2,DiscPIM,Low,2,72,Repeat,3,7.65926,1,11.54047,2.039452,0.4037623,2,1,0,8
sub_2,DiscPIM,Medium,1,73,Search,1,11.52222,1,6.584351,0.8659639,0.4942106,1,1,0,4
sub_2,DiscPIM,Medium,1,74,Repeat,1,11.52411,1,3.957397,0.6555152,0.2524267,2,0,0,1
sub_2,DiscPIM,Medium,1,75,Search,2,9.711182,1,7.13269,0.5334256,0.3201355,2,0,0,1
sub_2,DiscPIM,Medium,1,76,Repeat,2,9.718514,2,20.25562,2.284454,0.7345901,4,0,0,5
sub_2,DiscPIM,Medium,1,77,Search,3,9.891043,1,7.40332,0.5365345,0.385271,2,0,0,1
sub_2,DiscPIM,Medium,1,78,Repeat,3,9.889419,1,4.538757,0.6457679,0.2642079,2,1,0,1
sub_2,DiscPIM,Medium,2,79,Search,1,9.690864,1,16.51227,1.935399,0.639835,3,2,0,8
sub_2,DiscPIM,Medium,2,80,Repeat,1,9.688168,1,7.845764,2.265687,0.269677,2,1,0,3
sub_2,DiscPIM,Medium,2,81,Search,2,11.34792,1,8.493103,1.059733,0.3386778,2,0,0,2
sub_2,DiscPIM,Medium,2,82,Repeat,2,11.35593,1,6.97406,1.044424,0.2297892,2,0,0,2
sub_2,DiscPIM,Medium,2,83,Search,3,12.31706,1,24.72797,2.83279,0.6739443,2,1,0,17
sub_2,DiscPIM,Medium,2,84,Repeat,3,12.31108,1,9.841797,1.601925,0.6587396,2,0,0,3
sub_2,DiscPIM,Medium,4,85,Search,1,3.038795,1,24.46863,4.552949,1.015279,4,4,0,7
sub_2,DiscPIM,Medium,4,86,Repeat,1,3.036221,1,19.10181,3.446223,0.429446,4,3,0,7
sub_2,DiscPIM,Medium,4,87,Search,2,7.371033,1,31.46521,3.552201,1.544138,4,0,0,9
sub_2,DiscPIM,Medium,4,88,Repeat,2,7.399637,1,17.54425,2.850528,1.175767,4,0,0,10
sub_2,DiscPIM,Medium,4,89,Search,3,8.326855,1,94.58521,4.756639,3.049891,5,1,0,7
sub_2,DiscPIM,Medium,4,90,Repeat,3,8.38045,1,34.38422,4.535282,1.082642,4,2,0,15
sub_2,DiscPIM,High,1,91,Search,1,10.04941,1,5.610893,0.8320232,0.352807,1,0,0,3
sub_2,DiscPIM,High,1,92,Repeat,1,10.04465,1,5.18232,0.7742702,0.4520047,2,0,0,2
sub_2,DiscPIM,High,1,93,Search,2,4.198367,1,7.755524,1.251128,0.3877796,1,0,0,2
sub_2,DiscPIM,High,1,94,Repeat,2,4.197564,1,6.096947,1.105547,0.3036003,1,0,0,4
sub_2,DiscPIM,High,1,95,Search,3,11.77132,1,6.140625,0.7275311,0.2749863,1,0,0,2
sub_2,DiscPIM,High,1,96,Repeat,3,11.76321,1,7.842209,1.357537,0.4316409,1,1,0,5
sub_2,DiscPIM,High,2,97,Search,1,11.51601,1,11.09167,1.56065,0.5795143,2,0,0,2
sub_2,DiscPIM,High,2,98,Repeat,1,11.4977,1,8.867386,1.519455,0.4305409,2,0,0,3
sub_2,DiscPIM,High,2,99,Search,2,10.9365,1,14.77184,1.437032,0.4314059,3,0,0,4
sub_2,DiscPIM,High,2,100,Repeat,2,10.93917,1,17.78716,2.526187,0.5979956,2,2,0,3
sub_2,DiscPIM,High,2,101,Search,3,11.57334,1,13.8298,1.622376,0.4962877,2,0,0,8
sub_2,DiscPIM,High,2,102,Repeat,3,11.57717,1,12.00055,1.313393,0.4612702,2,0,0,6
sub_2,DiscPIM,High,4,103,Search,1,6.01429,1,35.03986,3.218371,1.085802,5,1,0,11
sub_2,DiscPIM,High,4,104,Repeat,1,6.026796,1,20.30243,3.019009,0.9639329,4,2,0,9
sub_2,DiscPIM,High,4,105,Search,2,7.516628,1,32.10608,2.665927,1.650706,4,1,0,4
sub_2,DiscPIM,High,4,106,Repeat,2,7.502749,1,35.8566,2.728802,1.050431,5,1,0,5
sub_2,DiscPIM,High,4,107,Search,3,9.964058,1,21.73547,2.515078,1.11616,5,1,0,7
sub_2,DiscPIM,High,4,108,Repeat,3,9.963428,1,21.08221,3.237472,0.6406223,4,1,0,12
sub_3,AssistVR,High,2,1,Search,1,11.62195,1,29.94657,1.858968,3.137201,0,0,1,0
sub_3,AssistVR,High,2,2,Repeat,1,11.63546,1,9.637428,0.5280972,0.4046877,1,0,0,0
sub_3,AssistVR,High,2,3,Search,2,4.819328,1,11.77437,0.512835,0.5671889,0,0,0,0
sub_3,AssistVR,High,2,4,Repeat,2,4.838048,1,10.23329,0.9636003,0.9024729,1,0,0,0
sub_3,AssistVR,High,2,5,Search,3,11.54572,1,11.02519,0.511488,0.4827898,0,0,0,0
sub_3,AssistVR,High,2,6,Repeat,3,11.5591,1,7.015518,0.5997892,0.5330321,0,0,0,0
sub_3,AssistVR,High,4,7,Search,1,6.531233,1,16.08803,0.656381,0.5892457,2,1,0,0
sub_3,AssistVR,High,4,8,Repeat,1,6.542457,1,9.847107,0.7820606,0.690816,1,0,0,0
sub_3,AssistVR,High,4,9,Search,2,11.59126,1,17.24638,0.6070027,0.5140605,1,0,0,0
sub_3,AssistVR,High,4,10,Repeat,2,11.56877,1,9.926834,0.6211382,0.6317754,0,0,0,0
sub_3,AssistVR,High,4,11,Search,3,9.970211,1,10.67783,0.3790074,0.3243088,0,0,0,0
sub_3,AssistVR,High,4,12,Repeat,3,9.999379,1,8.925369,0.5124223,0.4968824,0,0,0,0
sub_3,AssistVR,High,1,13,Search,1,4.133245,1,13.64353,0.835917,1.807452,0,0,1,0
sub_3,AssistVR,High,1,14,Repeat,1,4.131592,1,9.062485,0.899494,1.372953,0,0,1,0
