Participant,Technique,NumberOfTargets,Perplexity,trial_time
sub_22,AssistVR,1,Low,3.085963
sub_22,AssistVR,1,Medium,13.110524
sub_22,AssistVR,1,High,9.429992667
sub_22,AssistVR,2,Low,7.112130333
sub_22,AssistVR,2,Medium,20.8567
sub_22,AssistVR,2,High,12.180605
sub_22,AssistVR,4,Low,7.925857333
sub_22,AssistVR,4,Medium,11.671153
sub_22,AssistVR,4,High,37.28247
sub_22,DiscPIM,1,Low,7.203044333
sub_22,DiscPIM,1,Medium,6.943948667
sub_22,DiscPIM,1,High,9.722208667
sub_22,DiscPIM,2,Low,14.72579667
sub_22,DiscPIM,2,Medium,16.80885667
sub_22,DiscPIM,2,High,17.230875
sub_22,DiscPIM,4,Low,18.30693667
sub_22,DiscPIM,4,Medium,17.00818
sub_22,DiscPIM,4,High,22.74381667
sub_23,AssistVR,1,Low,2.195311
sub_23,AssistVR,1,Medium,4.404388667
sub_23,AssistVR,1,High,13.101317
sub_23,AssistVR,2,Low,4.343684
sub_23,AssistVR,2,Medium,6.783844333
sub_23,AssistVR,2,High,6.636515
sub_23,AssistVR,4,Low,15.00409167
sub_23,AssistVR,4,Medium,18.48374367
sub_23,AssistVR,4,High,15.45749967
sub_23,DiscPIM,1,Low,5.602366
sub_23,DiscPIM,1,Medium,3.573445667
sub_23,DiscPIM,1,High,6.579722
sub_23,DiscPIM,2,Low,11.566121
sub_23,DiscPIM,2,Medium,10.22863667
sub_23,DiscPIM,2,High,9.569804
sub_23,DiscPIM,4,Low,12.35306667
sub_23,DiscPIM,4,Medium,17.57959
sub_23,DiscPIM,4,High,22.48386
sub_24,AssistVR,1,Low,10.36313733
sub_24,AssistVR,1,Medium,18.586983
sub_24,AssistVR,1,High,3.026387667
sub_24,AssistVR,2,Low,8.961141333
sub_24,AssistVR,2,Medium,11.5752585
sub_24,AssistVR,2,High,30.65176
sub_24,AssistVR,4,Low,8.432363
sub_24,AssistVR,4,Medium,16.02392667
sub_24,AssistVR,4,High,15.613224
sub_24,DiscPIM,1,Low,6.501851667
sub_24,DiscPIM,1,Medium,4.617106333
sub_24,DiscPIM,1,High,8.488300333
sub_24,DiscPIM,2,Low,9.334574333
sub_24,DiscPIM,2,Medium,14.29187
sub_24,DiscPIM,2,High,15.59696667
sub_24,DiscPIM,4,Low,19.61238667
sub_24,DiscPIM,4,Medium,23.67163333
sub_24,DiscPIM,4,High,36.91508
